Question,Answer,Topic
Can a wealthy person ignore the laws that others follow?,"No, the rule of law ensures that all individuals are subject to the same legal standards.",Rule of Law | Uniform Application
Who is protected by the principle of Rule of Law?,Every individual in society is protected by the equal application of the law.,Rule of Law | Universal Protection
Why is the Rule of Law important for a fair society?,It ensures that position or status does not give anyone an unfair advantage in the eyes of the law.,Rule of Law | Fairness
Does the law apply to celebrities and regular people the same way?,"Yes, the rule of law dictates that status does not change how the law is applied.",Rule of Law | Social Status
How does the law prevent bias against common citizens?,By ensuring that legal provisions are applied equally to all individuals without exception.,Rule of Law | Non-Discrimination
Is anyone in India above the law?,"No, the rule of law ensures that no one, regardless of position, is above legal requirements.",Rule of Law | Absolute Authority
Does a person's job title affect their legal rights?,"No, legal rights and duties are applied equally to everyone under the rule of law.",Rule of Law | Legal Rights
Can the police do anything they want during an investigation?,"No, government authorities must exercise their powers within the limits prescribed by law.",Government Authority | Legal Limits
Who decides the limits of a government official's power?,The laws of the country prescribe the specific limits within which authorities must act.,Government Authority | Statutory Power
What happens if a government department goes beyond its power?,Any action taken outside the limits prescribed by law is considered unauthorized and illegal.,Government Authority | Ultra Vires
Does a government officer have unlimited authority?,"No, their authority is strictly confined to the powers granted to them by the law.",Government Authority | Limited Power
Why must the government follow the law while exercising power?,To ensure that power is used correctly and stays within the prescribed legal boundaries.,Government Authority | Compliance
Can a new policy override existing legal limits?,"No, authorities must always exercise their powers within the limits defined by current law.",Government Authority | Legal Framework
Who ensures that government power is not used randomly?,"The law itself, which prescribes the specific limits for every government authority.",Government Authority | Governance
Is there a boundary for government actions in India?,"Yes, the law sets the boundaries and limits for all actions taken by government authorities.",Government Authority | Constitutional Limits
What is the source of a government official's power?,"Their power comes from the law, which also prescribes the limits of that power.",Government Authority | Source of Power
Can an authority ignore a legal limit if it's an emergency?,"Generally no; even in emergencies, authorities must stay within the powers granted by law.",Government Authority | Rule of Law
Who can check if a government officer acted illegally?,Courts have the authority to review the actions of government officials for legal compliance.,Judicial Review | Administrative Oversight
What happens if a government official breaks a legal standard?,The courts can review their actions and ensure they are held to the correct legal standards.,Judicial Review | Accountability
